partition,path,class,machine,interpreter,soname,needed
system,/system/apex/com.android.art/lib/libartpalette.so,ELF32,ARM,,libartpalette.so,liblog.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libdexfile.so,ELF32,ARM,,libdexfile.so,libz.so;libartpalette.so;liblog.so;libbase.so;libartbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libdt_fd_forward.so,ELF32,ARM,,libdt_fd_forward.so,libbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libdt_socket.so,ELF32,ARM,,libdt_socket.so,libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libexpat.so,ELF32,ARM,,libexpat.so,libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libjavacore.so,ELF32,ARM,,libjavacore.so,libbase.so;liblog.so;libnativehelper.so;libandroidio.so;libcrypto.so;libicu.so;libexpat.so;libz.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libjdwp.so,ELF32,ARM,,libjdwp.so,libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libnativebridge.so,ELF32,ARM,,libnativebridge.so,liblog.so;libdl_android.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libnativehelper.so,ELF32,ARM,,libnativehelper.so,liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libnativeloader.so,ELF32,ARM,,libnativeloader.so,liblog.so;libnativebridge.so;libbase.so;libdl_android.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libnpt.so,ELF32,ARM,,libnpt.so,libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libopenjdk.so,ELF32,ARM,,libopenjdk.so,libbase.so;liblog.so;libnativehelper.so;libandroidio.so;libcrypto.so;libicu.so;libz.so;libopenjdkjvm.so;libdl_android.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libopenjdkjvm.so,ELF32,ARM,,libopenjdkjvm.so,libbase.so;libart.so;libartbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libopenjdkjvmti.so,ELF32,ARM,,libopenjdkjvmti.so,libbase.so;libart.so;libart-compiler.so;libart-dexlayout.so;libdexfile.so;libartbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libperfetto_hprof.so,ELF32,ARM,,libperfetto_hprof.so,libbase.so;liblog.so;libdexfile.so;libart.so;libartbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libprofile.so,ELF32,ARM,,libprofile.so,libziparchive.so;libartpalette.so;libbase.so;libz.so;libartbase.so;libdexfile.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.art/lib/libsigchain.so,ELF32,ARM,,libsigchain.so,libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.conscrypt/bin/boringssl_self_test32,ELF32,ARM,/system/bin/linker,,libcrypto.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.conscrypt/lib/libjavacrypto.so,ELF32,ARM,,libjavacrypto.so,libcrypto.so;liblog.so;libssl.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.extservices/priv-app/ExtServices/ExtServices.apk!/lib/armeabi-v7a/libextservices_jni.so,ELF32,ARM,,libextservices_jni.so,libnativehelper_compat_libc++.so;libandroid.so;liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.extservices/priv-app/ExtServices/ExtServices.apk!/lib/armeabi-v7a/libnativehelper_compat_libc++.so,ELF32,ARM,,libnativehelper_compat_libc++.so,liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.extservices/priv-app/ExtServices/ExtServices.apk!/lib/armeabi-v7a/libtextclassifier.so,ELF32,ARM,,libtextclassifier.so,liblog.so;libz.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.i18n/lib/libandroidicu.so,ELF32,ARM,,libandroidicu.so,libbase.so;libicuuc.so;libicui18n.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.i18n/lib/libicu.so,ELF32,ARM,,libicu.so,libicuuc.so;libicui18n.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.i18n/lib/libicu_jni.so,ELF32,ARM,,libicu_jni.so,libbase.so;libicuuc.so;libicui18n.so;liblog.so;libnativehelper.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.i18n/lib/libicui18n.so,ELF32,ARM,,libicui18n.so,libicuuc.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.i18n/lib/libicuuc.so,ELF32,ARM,,libicuuc.so,libbase.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media.swcodec/bin/mediaswcodec,ELF32,ARM,/system/bin/linker,,libavservices_minijail.so;libbase.so;libhidlbase.so;liblog.so;libmedia_codecserviceregistrant.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media.swcodec/lib/libcodec2_hidl@1.0.so,ELF32,ARM,,libcodec2_hidl@1.0.so,android.hardware.graphics.bufferqueue@1.0.so;android.hardware.graphics.bufferqueue@2.0.so;android.hardware.graphics.common@1.0.so;android.hardware.media@1.0.so;android.hardware.media.bufferpool@2.0.so;android.hardware.media.c2@1.0.so;android.hardware.media.omx@1.0.so;libbase.so;libcodec2.so;libcodec2_vndk.so;libcutils.so;libhidlbase.so;liblog.so;libstagefright_bufferpool@2.0.1.so;libstagefright_bufferqueue_helper_novndk.so;libui.so;libutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media.swcodec/lib/libcodec2_hidl@1.1.so,ELF32,ARM,,libcodec2_hidl@1.1.so,android.hardware.graphics.bufferqueue@1.0.so;android.hardware.graphics.bufferqueue@2.0.so;android.hardware.graphics.common@1.0.so;android.hardware.media@1.0.so;android.hardware.media.bufferpool@2.0.so;android.hardware.media.c2@1.0.so;android.hardware.media.c2@1.1.so;android.hardware.media.omx@1.0.so;libbase.so;libcodec2.so;libcodec2_hidl@1.0.so;libcodec2_vndk.so;libcutils.so;libhidlbase.so;liblog.so;libstagefright_bufferpool@2.0.1.so;libstagefright_bufferqueue_helper_novndk.so;libui.so;libutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media.swcodec/lib/libcodec2_hidl@1.2.so,ELF32,ARM,,libcodec2_hidl@1.2.so,android.hardware.graphics.bufferqueue@1.0.so;android.hardware.graphics.bufferqueue@2.0.so;android.hardware.graphics.common@1.0.so;android.hardware.media@1.0.so;android.hardware.media.bufferpool@2.0.so;android.hardware.media.c2@1.0.so;android.hardware.media.c2@1.1.so;android.hardware.media.c2@1.2.so;android.hardware.media.omx@1.0.so;libbase.so;libcodec2.so;libcodec2_hidl@1.0.so;libcodec2_hidl@1.1.so;libcodec2_vndk.so;libcutils.so;libhidlbase.so;liblog.so;libstagefright_bufferpool@2.0.1.so;libstagefright_bufferqueue_helper_novndk.so;libui.so;libutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media.swcodec/lib/libstagefright_foundation.so,ELF32,ARM,,libstagefright_foundation.so,libutils.so;libcutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/bin/mediatranscoding,ELF32,ARM,/system/bin/linker,,libbinder_ndk.so;libutils.so;liblog.so;libbase.so;libmediatranscoding.so;libmediatranscodingservice.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libaacextractor.so,ELF32,ARM,,libaacextractor.so,liblog.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libamrextractor.so,ELF32,ARM,,libamrextractor.so,liblog.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libflacextractor.so,ELF32,ARM,,libflacextractor.so,liblog.so;libbase.so;libbinder_ndk.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libmidiextractor.so,ELF32,ARM,,libmidiextractor.so,liblog.so;libbase.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libmkvextractor.so,ELF32,ARM,,libmkvextractor.so,liblog.so;libstagefright_flacdec.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libmp3extractor.so,ELF32,ARM,,libmp3extractor.so,liblog.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libmp4extractor.so,ELF32,ARM,,libmp4extractor.so,liblog.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libmpeg2extractor.so,ELF32,ARM,,libmpeg2extractor.so,liblog.so;libbase.so;libcgrouprc.so;libmediandk.so;libvndksupport.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/liboggextractor.so,ELF32,ARM,,liboggextractor.so,liblog.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/extractors/libwavextractor.so,ELF32,ARM,,libwavextractor.so,liblog.so;libbase.so;libbinder_ndk.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/libmediaformatshaper.so,ELF32,ARM,,libmediaformatshaper.so,liblog.so;libutils.so;libmediandk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/libmediaparser-jni.so,ELF32,ARM,,libmediaparser-jni.so,libandroid.so;liblog.so;libmediametrics.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/libmediatranscoder.so,ELF32,ARM,,libmediatranscoder.so,libbase.so;libcutils.so;libmediandk.so;libnativewindow.so;libutils.so;libbinder_ndk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/libmediatranscoding.so,ELF32,ARM,,libmediatranscoding.so,libandroid.so;libbinder_ndk.so;libcutils.so;liblog.so;libutils.so;libmediatranscoder.so;libmediandk.so;libstatssocket.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.media/lib/libmediatranscodingservice.so,ELF32,ARM,,libmediatranscodingservice.so,libandroid.so;libbase.so;libbinder_ndk.so;libcutils.so;liblog.so;libmediatranscoding.so;libutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.mediaprovider/priv-app/MediaProvider/MediaProvider.apk!/lib/armeabi-v7a/libfuse.so,ELF32,ARM,,libfuse.so,libstdc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.mediaprovider/priv-app/MediaProvider/MediaProvider.apk!/lib/armeabi-v7a/libfuse_jni.so,ELF32,ARM,,libfuse_jni.so,libfuse.so;liblog.so;libandroid.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.neuralnetworks/lib/libneuralnetworks.so,ELF32,ARM,,libneuralnetworks.so,libbinder_ndk.so;libcgrouprc.so;libvndksupport.so;liblog.so;libnativewindow.so;libneuralnetworks_packageinfo.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.os.statsd/bin/statsd,ELF32,ARM,/system/bin/linker,,libbinder_ndk.so;libincident.so;liblog.so;libstatssocket.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.os.statsd/lib/libstats_jni.so,ELF32,ARM,,libstats_jni.so,liblog.so;libstatssocket.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.os.statsd/lib/libstatspull.so,ELF32,ARM,,libstatspull.so,libbinder_ndk.so;liblog.so;libstatssocket.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.os.statsd/lib/libstatssocket.so,ELF32,ARM,,libstatssocket.so,libc.so;libm.so;libdl.so
system,/system/apex/com.android.resolv/lib/libnetd_resolv.so,ELF32,ARM,,libnetd_resolv.so,libbinder_ndk.so;libcrypto.so;liblog.so;libssl.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.runtime/bin/crash_dump32,ELF32,ARM,/system/bin/linker,,libbase.so;liblog.so;libprocinfo.so;libunwindstack.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.runtime/bin/linker,ELF32,ARM,,ld-android.so,
system,/system/apex/com.android.runtime/bin/linkerconfig,ELF32,ARM,,,
system,/system/apex/com.android.runtime/lib/bionic/libc.so,ELF32,ARM,,libc.so,ld-android.so;libdl.so
system,/system/apex/com.android.runtime/lib/bionic/libdl.so,ELF32,ARM,,libdl.so,ld-android.so
system,/system/apex/com.android.runtime/lib/bionic/libdl_android.so,ELF32,ARM,,libdl_android.so,ld-android.so
system,/system/apex/com.android.runtime/lib/bionic/libm.so,ELF32,ARM,,libm.so,libc.so
system,/system/apex/com.android.runtime/lib/libc_malloc_debug.so,ELF32,ARM,,libc_malloc_debug.so,libunwindstack.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.runtime/lib/libc_malloc_hooks.so,ELF32,ARM,,libc_malloc_hooks.so,libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.sdkext/bin/derive_classpath,ELF32,ARM,/system/bin/linker,,liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.sdkext/bin/derive_sdk,ELF32,ARM,/system/bin/linker,,liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.tethering/etc/bpf/offload.o,ELF64,BPF,,,
system,/system/apex/com.android.tethering/etc/bpf/test.o,ELF64,BPF,,,
system,/system/apex/com.android.tethering/lib/libframework-connectivity-jni.so,ELF32,ARM,,libframework-connectivity-jni.so,libandroid.so;liblog.so;libnativehelper.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.tethering/lib/libservice-connectivity.so,ELF32,ARM,,libservice-connectivity.so,liblog.so;libnativehelper.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.tethering/priv-app/Tethering/Tethering.apk!/lib/armeabi-v7a/libnativehelper_compat_libc++.so,ELF32,ARM,,libnativehelper_compat_libc++.so,liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.tethering/priv-app/Tethering/Tethering.apk!/lib/armeabi-v7a/libtetherutilsjni.so,ELF32,ARM,,libtetherutilsjni.so,libnativehelper_compat_libc++.so;liblog.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.audio.common@2.0.so,ELF32,ARM,,android.hardware.audio.common@2.0.so,libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.authsecret-V1-ndk_platform.so,ELF32,ARM,,android.hardware.authsecret-V1-ndk_platform.so,libbinder_ndk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.automotive.occupant_awareness-V1-ndk_platform.so,ELF32,ARM,,android.hardware.automotive.occupant_awareness-V1-ndk_platform.so,libbinder_ndk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.common-V2-ndk_platform.so,ELF32,ARM,,android.hardware.common-V2-ndk_platform.so,libbinder_ndk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.common.fmq-V1-ndk_platform.so,ELF32,ARM,,android.hardware.common.fmq-V1-ndk_platform.so,libbinder_ndk.so;android.hardware.common-V2-ndk_platform.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.configstore-utils.so,ELF32,ARM,,android.hardware.configstore-utils.so,android.hardware.configstore@1.0.so;android.hardware.configstore@1.1.so;libbase.so;libhidlbase.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.configstore@1.0.so,ELF32,ARM,,android.hardware.configstore@1.0.so,libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.configstore@1.1.so,ELF32,ARM,,android.hardware.configstore@1.1.so,android.hardware.configstore@1.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.confirmationui-support-lib.so,ELF32,ARM,,android.hardware.confirmationui-support-lib.so,libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.gnss-V1-ndk_platform.so,ELF32,ARM,,android.hardware.gnss-V1-ndk_platform.so,libbinder_ndk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.allocator@2.0.so,ELF32,ARM,,android.hardware.graphics.allocator@2.0.so,android.hardware.graphics.common@1.0.so;android.hardware.graphics.mapper@2.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.allocator@3.0.so,ELF32,ARM,,android.hardware.graphics.allocator@3.0.so,android.hardware.graphics.common@1.0.so;android.hardware.graphics.common@1.1.so;android.hardware.graphics.common@1.2.so;android.hardware.graphics.mapper@3.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.allocator@4.0.so,ELF32,ARM,,android.hardware.graphics.allocator@4.0.so,android.hardware.graphics.common@1.0.so;android.hardware.graphics.common@1.1.so;android.hardware.graphics.common@1.2.so;android.hardware.graphics.mapper@4.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.bufferqueue@1.0.so,ELF32,ARM,,android.hardware.graphics.bufferqueue@1.0.so,android.hardware.graphics.common@1.0.so;android.hardware.media@1.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.bufferqueue@2.0.so,ELF32,ARM,,android.hardware.graphics.bufferqueue@2.0.so,android.hardware.graphics.common@1.0.so;android.hardware.graphics.common@1.1.so;android.hardware.graphics.common@1.2.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.common-V2-ndk_platform.so,ELF32,ARM,,android.hardware.graphics.common-V2-ndk_platform.so,libbinder_ndk.so;android.hardware.common-V2-ndk_platform.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.common@1.0.so,ELF32,ARM,,android.hardware.graphics.common@1.0.so,libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.common@1.1.so,ELF32,ARM,,android.hardware.graphics.common@1.1.so,android.hardware.graphics.common@1.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.common@1.2.so,ELF32,ARM,,android.hardware.graphics.common@1.2.so,android.hardware.graphics.common@1.0.so;android.hardware.graphics.common@1.1.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.mapper@2.0.so,ELF32,ARM,,android.hardware.graphics.mapper@2.0.so,android.hardware.graphics.common@1.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.mapper@2.1.so,ELF32,ARM,,android.hardware.graphics.mapper@2.1.so,android.hardware.graphics.common@1.0.so;android.hardware.graphics.common@1.1.so;android.hardware.graphics.mapper@2.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.mapper@3.0.so,ELF32,ARM,,android.hardware.graphics.mapper@3.0.so,android.hardware.graphics.common@1.0.so;android.hardware.graphics.common@1.1.so;android.hardware.graphics.common@1.2.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.graphics.mapper@4.0.so,ELF32,ARM,,android.hardware.graphics.mapper@4.0.so,android.hardware.graphics.common@1.0.so;android.hardware.graphics.common@1.1.so;android.hardware.graphics.common@1.2.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.health.storage-V1-ndk_platform.so,ELF32,ARM,,android.hardware.health.storage-V1-ndk_platform.so,libbinder_ndk.so;libc++.so;libc.so;libm.so;libdl.so
system,/system/apex/com.android.vndk.current/lib/android.hardware.identity-V3-ndk_platform.so,ELF32,ARM,,android.hardware.identity-V3-ndk_platform.so,libbinder_ndk.so;android.hardware.keymaster-V3-ndk_platform.so;libc++.so;libc.so;libm.so;libdl.so
